BeginDate,Type,Mw
07/02/2024 00:30,forecast,12010
07/02/2024 01:30,forecast,11270
07/02/2024 02:30,forecast,10800
07/02/2024 03:30,forecast,10560
07/02/2024 04:30,forecast,10590
07/02/2024 05:30,forecast,11070
07/02/2024 06:30,forecast,11830
07/02/2024 07:30,forecast,12350
07/02/2024 08:30,forecast,11940
07/02/2024 09:30,forecast,11460
07/02/2024 10:30,forecast,11450
07/02/2024 11:30,forecast,11720
07/02/2024 12:30,forecast,12080
07/02/2024 13:30,forecast,12610
07/02/2024 14:30,forecast,13420
07/02/2024 15:30,forecast,14410
07/02/2024 16:30,forecast,15760
07/02/2024 17:30,forecast,16820
07/02/2024 18:30,forecast,17400
07/02/2024 19:30,forecast,17160
07/02/2024 20:30,forecast,16700
07/02/2024 21:30,forecast,15870
07/02/2024 22:30,forecast,14560
07/02/2024 23:30,forecast,13190
07/02/2024 00:00,actual,12435
07/02/2024 00:05,actual,12339
07/02/2024 00:10,actual,12261
07/02/2024 00:15,actual,12218
07/02/2024 00:20,actual,12100
07/02/2024 00:25,actual,12024
07/02/2024 00:30,actual,11970
07/02/2024 00:35,actual,11881
07/02/2024 00:40,actual,11847
07/02/2024 00:45,actual,11774
07/02/2024 00:50,actual,11707
07/02/2024 00:55,actual,11605
07/02/2024 01:00,actual,11539
07/02/2024 01:05,actual,11475
07/02/2024 01:10,actual,11446
07/02/2024 01:15,actual,11403
07/02/2024 01:20,actual,11319
07/02/2024 01:25,actual,11286
07/02/2024 01:30,actual,11237
07/02/2024 01:35,actual,11193
07/02/2024 01:40,actual,11128
07/02/2024 01:45,actual,11079
07/02/2024 01:50,actual,11040
07/02/2024 01:55,actual,11002
07/02/2024 02:00,actual,10933
07/02/2024 02:05,actual,10909
07/02/2024 02:10,actual,10861
07/02/2024 02:15,actual,10867
07/02/2024 02:20,actual,10823
07/02/2024 02:25,actual,10783
07/02/2024 02:30,actual,10766
07/02/2024 02:35,actual,10739
07/02/2024 02:40,actual,10704
07/02/2024 02:45,actual,10658
07/02/2024 02:50,actual,10656
07/02/2024 02:55,actual,10604
07/02/2024 03:00,actual,10585
07/02/2024 03:05,actual,10576
07/02/2024 03:10,actual,10560
07/02/2024 03:15,actual,10568
07/02/2024 03:20,actual,10511
07/02/2024 03:25,actual,10504
07/02/2024 03:30,actual,10504
07/02/2024 03:35,actual,10464
07/02/2024 03:40,actual,10481
07/02/2024 03:45,actual,10445
07/02/2024 03:50,actual,10454
07/02/2024 03:55,actual,10435
07/02/2024 04:00,actual,10458
07/02/2024 04:05,actual,10503
07/02/2024 04:10,actual,10511
07/02/2024 04:15,actual,10536
07/02/2024 04:20,actual,10506
